CMDLINE C:\Users\Acer\AppData\Local\Programs\Python\Python311\python.exe cli.py
MEM 72.328125 1749533652.6533
MEM 72.328125 1749533652.7540
MEM 72.328125 1749533652.8545
MEM 72.328125 1749533652.9548
MEM 72.328125 1749533653.0558
MEM 72.328125 1749533653.1565
MEM 72.328125 1749533653.2571
MEM 72.328125 1749533653.3577
MEM 72.328125 1749533653.4581
MEM 72.328125 1749533653.5588
MEM 72.328125 1749533653.6591
MEM 72.328125 1749533653.7595
MEM 72.328125 1749533653.8599
MEM 72.328125 1749533653.9606
MEM 72.328125 1749533654.0611
MEM 72.328125 1749533654.1616
MEM 72.328125 1749533654.2621
MEM 72.328125 1749533654.3627
MEM 72.328125 1749533654.4635
MEM 72.328125 1749533654.5643
MEM 72.328125 1749533654.6649
MEM 72.328125 1749533654.7657
MEM 72.328125 1749533654.8662
MEM 72.328125 1749533654.9668
MEM 72.328125 1749533655.0673
MEM 72.328125 1749533655.1681
MEM 72.328125 1749533655.2684
MEM 72.328125 1749533655.3692
MEM 72.328125 1749533655.4705
MEM 72.328125 1749533655.5710
MEM 72.328125 1749533655.6716
MEM 72.328125 1749533655.7720
MEM 72.328125 1749533655.8727
MEM 72.328125 1749533655.9731
MEM 72.328125 1749533656.0739
MEM 72.328125 1749533656.1744
MEM 72.328125 1749533656.2750
MEM 72.328125 1749533656.3759
MEM 72.328125 1749533656.4763
MEM 72.328125 1749533656.5772
MEM 72.328125 1749533656.6777
MEM 72.328125 1749533656.7781
MEM 72.328125 1749533656.8786
MEM 72.328125 1749533656.9790
MEM 72.328125 1749533657.0796
MEM 72.328125 1749533657.1801
MEM 72.328125 1749533657.2805
MEM 72.328125 1749533657.3812
MEM 72.328125 1749533657.4819
MEM 72.328125 1749533657.5825
MEM 72.328125 1749533657.6827
MEM 72.328125 1749533657.7835
MEM 72.328125 1749533657.8840
MEM 72.328125 1749533657.9843
MEM 72.328125 1749533658.0846
MEM 72.328125 1749533658.1853
MEM 72.328125 1749533658.2862
MEM 72.328125 1749533658.3866
MEM 72.328125 1749533658.4871
MEM 72.328125 1749533658.5881
MEM 72.328125 1749533658.6884
MEM 72.328125 1749533658.7887
MEM 72.328125 1749533658.8891
MEM 72.328125 1749533658.9895
MEM 72.328125 1749533659.0898
MEM 72.328125 1749533659.1903
MEM 72.328125 1749533659.2912
MEM 72.328125 1749533659.3918
MEM 72.328125 1749533659.4926
MEM 72.328125 1749533659.5934
MEM 72.328125 1749533659.6945
MEM 72.328125 1749533659.7952
MEM 72.328125 1749533659.8961
MEM 72.328125 1749533659.9969
MEM 72.328125 1749533660.0974
MEM 72.328125 1749533660.1982
MEM 72.328125 1749533660.2992
MEM 72.328125 1749533660.3999
MEM 72.328125 1749533660.5004
MEM 72.328125 1749533660.6010
MEM 72.328125 1749533660.7016
MEM 72.328125 1749533660.8021
MEM 72.328125 1749533660.9025
MEM 72.328125 1749533661.0031
MEM 72.328125 1749533661.1037
MEM 72.328125 1749533661.2042
MEM 72.328125 1749533661.3047
MEM 72.328125 1749533661.4053
MEM 72.328125 1749533661.5061
MEM 72.328125 1749533661.6066
MEM 72.328125 1749533661.7071
MEM 72.328125 1749533661.8076
MEM 72.328125 1749533661.9084
MEM 72.328125 1749533662.0089
MEM 72.328125 1749533662.1093
MEM 72.328125 1749533662.2096
MEM 72.328125 1749533662.3103
MEM 72.328125 1749533662.4108
MEM 72.328125 1749533662.5114
MEM 72.328125 1749533662.6127
MEM 72.328125 1749533662.7137
MEM 72.328125 1749533662.8147
MEM 72.328125 1749533662.9152
MEM 72.328125 1749533663.0157
MEM 72.328125 1749533663.1165
MEM 72.328125 1749533663.2168
MEM 72.328125 1749533663.3174
MEM 72.328125 1749533663.4182
MEM 72.328125 1749533663.5186
MEM 72.328125 1749533663.6190
MEM 72.328125 1749533663.7196
MEM 72.328125 1749533663.8198
MEM 72.328125 1749533663.9200
MEM 72.328125 1749533664.0208
MEM 72.328125 1749533664.1397
MEM 72.328125 1749533664.2404
MEM 72.328125 1749533664.3411
MEM 72.328125 1749533664.4418
MEM 72.328125 1749533664.5426
MEM 72.328125 1749533664.6436
MEM 72.328125 1749533664.7445
MEM 72.328125 1749533664.8450
MEM 72.328125 1749533664.9460
MEM 72.328125 1749533665.0466
MEM 72.328125 1749533665.1475
MEM 72.328125 1749533665.2479
MEM 72.328125 1749533665.3485
MEM 72.328125 1749533665.4494
